Age,Education,Marital_Status,Income,Kidhome,Teenhome,AmntWines,AmntFruits,AmntMeatProducts,AmntFishProducts,AmntSweetProducts,AmntGoldProds,Country,Income_groups,age_range,AmntAll,ClusterId
31,Basic,Married,24279,0,0,16,36,21,20,62,108,RUS,20k-40k,25-35,263,0
52,PhD,Married,68462,0,0,561,64,785,84,128,48,RUS,60k-80k,45-55,1670,3
45,PhD,Married,55424,0,1,462,61,184,10,53,107,RUS,40k-60k,35-45,877,3
48,Graduation,Married,49094,0,1,376,0,38,11,8,69,RUS,40k-60k,45-55,502,1
60,2n Cycle,Widow,59184,0,1,341,142,113,259,151,66,RUS,40k-60k,55-65,1072,3
34,Graduation,Together,67430,0,0,595,97,291,127,133,121,DEU,60k-80k,25-35,1364,3
61,Master,Married,30522,0,1,179,8,83,19,11,26,RUS,20k-40k,55-65,326,0
44,2n Cycle,Single,31878,0,1,23,4,5,10,5,23,RUS,20k-40k,35-45,70,0
29,Graduation,Single,83528,0,0,530,117,678,134,44,147,RUS,80k-100k,25-35,1650,2
42,Graduation,Together,90300,0,0,594,134,786,33,134,57,RUS,80k-100k,35-45,1738,2
43,Master,Single,68092,0,0,852,60,207,78,36,48,ZAF,60k-80k,35-45,1281,3
49,Master,Married,53761,1,1,158,0,76,13,7,71,AUS,40k-60k,45-55,325,3
48,Graduation,Married,52845,1,0,384,25,292,130,41,64,RUS,40k-60k,45-55,936,1
45,Graduation,Married,24027,1,0,14,7,11,11,0,5,RUS,20k-40k,35-45,48,0
42,2n Cycle,Together,7500,1,0,2,8,11,3,8,21,IND,0-20k,35-45,53,0
66,Graduation,Together,42586,1,1,194,2,56,0,0,0,RUS,40k-60k,65+,252,1
66,Graduation,Together,42586,1,1,194,2,56,0,0,0,RUS,40k-60k,65+,252,1
48,Basic,Together,9722,1,0,6,17,16,6,16,42,RUS,0-20k,45-55,103,0
46,PhD,Married,86836,0,0,179,21,273,0,21,63,RUS,80k-100k,45-55,557,2
49,Graduation,Married,30467,1,0,1,3,8,2,5,5,CAN,20k-40k,45-55,24,0
69,PhD,Married,54549,0,1,216,2,6,0,0,9,ZAF,40k-60k,65+,233,3
39,Graduation,Together,19444,1,0,16,0,23,3,2,10,ZAF,0-20k,35-45,54,0
65,Master,Together,69245,0,1,428,30,214,80,30,61,ZAF,60k-80k,55-65,843,3
58,PhD,Divorced,72968,0,0,1092,37,592,145,37,55,RUS,60k-80k,55-65,1958,3
68,Graduation,Married,48686,1,2,10,0,7,2,0,1,RUS,40k-60k,65+,20,1
31,Graduation,Married,73687,0,0,559,153,503,218,13,181,ZAF,60k-80k,25-35,1627,2
77,PhD,Single,82716,0,0,606,148,228,15,148,22,CAN,80k-100k,65+,1167,2
40,2n Cycle,Married,35523,1,0,11,5,22,12,5,11,DEU,20k-40k,35-45,66,1
46,PhD,Divorced,60554,1,0,588,7,76,110,15,15,ZAF,60k-80k,45-55,811,3
65,Graduation,Together,64090,0,1,316,58,161,76,51,135,ZAF,60k-80k,55-65,797,3
56,Graduation,Single,61559,0,1,279,83,88,32,14,34,RUS,60k-80k,55-65,530,3
59,PhD,Widow,71670,0,0,1462,16,128,0,0,160,RUS,60k-80k,55-65,1766,3
70,PhD,Widow,67680,0,1,546,0,48,0,6,6,AUS,60k-80k,65+,606,3
40,Graduation,Married,54386,0,1,277,21,64,62,21,25,RUS,40k-60k,35-45,470,3
68,PhD,Single,64108,0,1,948,10,86,13,21,21,AUS,60k-80k,65+,1099,3
70,PhD,Together,69702,0,1,664,9,240,50,19,57,RUS,60k-80k,65+,1039,3
69,Graduation,Single,47958,0,1,268,11,88,15,3,22,ZAF,40k-60k,65+,407,1
61,Graduation,Married,67716,0,1,530,142,217,62,9,56,CAN,60k-80k,55-65,1016,3
50,Graduation,Together,34600,1,1,199,33,60,8,3,15,RUS,20k-40k,45-55,318,1
50,Graduation,Together,34600,1,1,199,33,60,8,3,15,RUS,20k-40k,45-55,318,1
52,Graduation,Married,48752,1,1,73,57,100,71,15,0,RUS,40k-60k,45-55,316,1
33,2n Cycle,Married,15716,1,0,16,5,30,8,7,26,ZAF,0-20k,25-35,92,0
69,PhD,Divorced,46610,0,2,96,12,96,33,22,43,AUS,40k-60k,65+,302,1
44,Graduation,Married,74985,0,0,587,51,898,247,0,86,DEU,60k-80k,35-45,1869,2
76,PhD,Single,45576,0,0,56,19,29,2,14,25,RUS,40k-60k,65+,145,1
76,PhD,Single,113734,0,0,6,2,3,1,262,3,RUS,100k-200k,65+,277,2
34,Graduation,Single,57100,1,0,158,11,99,15,11,17,ZAF,40k-60k,25-35,311,3
49,Graduation,Married,24434,2,0,3,2,8,20,0,17,IND,20k-40k,45-55,50,0
50,PhD,Married,37126,1,0,45,3,9,4,4,7,RUS,20k-40k,45-55,72,1
63,Graduation,Single,45160,1,1,8,2,5,3,0,3,AUS,40k-60k,55-65,21,1
44,Graduation,Together,33178,1,0,12,6,2,11,2,16,RUS,20k-40k,35-45,49,0
71,Master,Widow,64866,0,1,508,5,21,7,5,10,CAN,60k-80k,65+,556,3
46,Master,Together,34176,0,1,11,2,7,4,2,2,CAN,20k-40k,45-55,28,1
53,Master,Single,50014,1,0,234,14,77,19,10,42,RUS,40k-60k,45-55,396,1
73,Graduation,Married,92344,0,0,992,24,694,51,19,119,AUS,80k-100k,65+,1899,2
51,Master,Divorced,55282,1,0,125,6,73,8,4,19,RUS,40k-60k,45-55,235,3
58,PhD,Divorced,48799,0,1,174,18,81,28,6,24,RUS,40k-60k,55-65,331,1
39,PhD,Married,84169,0,0,1478,19,403,0,19,0,RUS,80k-100k,35-45,1919,2
39,PhD,Married,84169,0,0,1478,19,403,0,19,0,ZAF,80k-100k,35-45,1919,2
50,Master,Single,39763,1,0,80,1,60,4,6,16,RUS,20k-40k,45-55,167,1
46,PhD,Divorced,74165,0,0,1001,12,240,16,12,12,CAN,60k-80k,45-55,1293,2
56,Graduation,Single,42720,1,1,392,5,91,28,26,112,DEU,40k-60k,55-65,654,1
77,Graduation,Married,65275,0,0,388,14,218,91,14,21,RUS,60k-80k,65+,746,3
60,Graduation,Married,36443,1,1,65,0,46,4,3,20,RUS,20k-40k,55-65,138,1
69,Master,Together,43776,1,1,177,2,71,3,2,20,ZAF,40k-60k,65+,275,1
56,Graduation,Together,56046,0,0,577,0,64,0,0,51,DEU,40k-60k,55-65,692,3
63,Graduation,Married,65148,0,1,460,35,422,33,12,153,CAN,60k-80k,55-65,1115,3
66,Graduation,Divorced,49431,0,1,219,3,100,26,0,17,RUS,40k-60k,65+,365,1
60,PhD,Together,32583,1,1,5,0,3,0,0,1,RUS,20k-40k,55-65,9,0
42,Master,Single,16653,1,0,5,7,31,15,4,7,RUS,0-20k,35-45,69,0
50,2n Cycle,Together,26850,1,1,31,1,13,7,2,9,RUS,20k-40k,45-55,63,0
53,Graduation,Married,51287,1,1,117,0,22,13,0,30,RUS,40k-60k,45-55,182,1
48,2n Cycle,Married,43050,1,0,30,5,24,6,3,8,RUS,40k-60k,45-55,76,1
52,Graduation,Married,73448,0,0,236,106,189,23,41,130,CAN,60k-80k,45-55,725,2
29,Basic,Married,17256,1,0,6,4,14,8,8,22,USA,0-20k,25-35,62,0
60,Graduation,Single,86429,0,0,464,28,873,29,18,37,ZAF,80k-100k,55-65,1449,2
38,PhD,Married,33569,1,0,16,2,18,3,0,24,RUS,20k-40k,35-45,63,0
41,2n Cycle,Together,25130,1,0,2,5,7,0,18,18,CAN,20k-40k,35-45,50,0
69,Graduation,Married,62998,0,1,120,58,73,65,89,58,CAN,60k-80k,65+,463,3
45,2n Cycle,Together,26907,1,1,9,1,7,0,3,2,RUS,20k-40k,35-45,22,0
45,2n Cycle,Together,26907,1,1,9,1,7,0,3,2,AUS,20k-40k,35-45,22,0
73,PhD,Married,45579,0,1,145,1,33,2,1,1,RUS,40k-60k,65+,183,1
64,Graduation,Together,47320,0,1,200,19,111,50,15,19,CAN,40k-60k,55-65,414,1
45,PhD,Divorced,70179,0,1,532,88,168,69,44,133,ZAF,60k-80k,35-45,1034,3
45,PhD,Divorced,70179,0,1,532,88,168,69,44,133,USA,60k-80k,35-45,1034,3
35,Master,Married,28072,1,0,30,0,10,2,0,5,CAN,20k-40k,25-35,47,0
67,Graduation,Married,50501,1,1,297,0,38,13,0,152,IND,40k-60k,65+,500,1
52,Graduation,Together,58917,1,2,151,7,89,0,7,28,ZAF,40k-60k,45-55,282,3
72,Graduation,Together,69372,0,0,997,26,269,34,13,42,CAN,60k-80k,65+,1381,3
50,Master,Married,35178,1,0,23,1,13,2,2,18,RUS,20k-40k,45-55,59,1
50,Master,Married,35178,1,0,23,1,13,2,2,18,AUS,20k-40k,45-55,59,1
53,Graduation,Divorced,75693,0,0,797,153,293,72,97,30,RUS,60k-80k,45-55,1442,2
39,Graduation,Married,69109,0,0,823,25,459,124,29,95,USA,60k-80k,35-45,1555,3
39,Graduation,Married,69109,0,0,823,25,459,124,29,95,RUS,60k-80k,35-45,1555,3
27,Graduation,Together,80134,0,0,966,26,282,52,26,26,RUS,80k-100k,25-35,1378,2
51,Graduation,Divorced,64713,1,0,180,60,241,13,54,54,AUS,60k-80k,45-55,602,3
35,Graduation,Divorced,41411,0,0,37,32,38,11,3,18,RUS,40k-60k,25-35,139,1
38,Graduation,Married,52291,1,0,5,5,6,0,2,1,USA,40k-60k,35-45,19,1
66,PhD,Single,55521,1,2,416,0,26,0,0,4,RUS,40k-60k,65+,446,3
53,Master,Together,43795,0,1,314,11,53,4,3,107,RUS,40k-60k,45-55,492,1
51,Graduation,Together,22070,1,0,10,7,19,8,2,21,ZAF,20k-40k,45-55,67,0
72,Master,Married,36408,1,1,9,1,4,3,2,3,DEU,20k-40k,65+,22,1
71,Graduation,Together,34026,1,1,18,6,15,12,8,17,CAN,20k-40k,65+,76,1
71,Graduation,Together,34026,1,1,18,6,15,12,8,17,RUS,20k-40k,65+,76,1
45,Graduation,Married,46049,1,1,342,9,112,19,14,19,RUS,40k-60k,35-45,515,1
49,Master,Married,35641,1,0,63,3,67,8,9,28,ZAF,20k-40k,45-55,178,1
37,2n Cycle,Together,32414,0,0,20,6,5,0,9,12,ZAF,20k-40k,35-45,52,0
66,PhD,Married,59821,0,1,629,0,70,0,0,35,ZAF,40k-60k,65+,734,3
41,Graduation,Married,34968,1,0,158,6,45,8,2,2,ZAF,20k-40k,35-45,221,1
54,PhD,Married,56320,0,1,201,53,172,116,77,83,RUS,40k-60k,45-55,702,3
52,Master,Married,70091,1,0,964,34,137,15,0,11,RUS,60k-80k,45-55,1161,3
65,Graduation,Together,46097,0,1,72,24,68,65,4,8,ZAF,40k-60k,55-65,241,1
58,PhD,Divorced,41003,0,0,123,133,142,71,44,88,ZAF,40k-60k,55-65,601,1
62,Graduation,Together,44911,0,1,159,0,22,2,1,31,RUS,40k-60k,55-65,215,1
46,Graduation,Single,33249,1,0,6,10,21,19,14,42,AUS,20k-40k,45-55,112,0
46,Graduation,Single,33249,1,0,6,10,21,19,14,42,RUS,20k-40k,45-55,112,0
71,PhD,Divorced,42873,1,1,209,0,40,3,2,15,CAN,40k-60k,65+,269,1
52,PhD,Married,51039,1,1,100,64,79,65,0,109,AUS,40k-60k,45-55,417,1
63,PhD,Together,78952,0,1,1170,19,594,99,76,134,RUS,60k-80k,55-65,2092,2
55,Master,Divorced,29435,1,1,70,3,37,4,2,64,CAN,20k-40k,45-55,180,0
67,Graduation,Divorced,79865,0,1,71,99,278,185,121,38,ZAF,60k-80k,65+,792,2
33,Graduation,Single,34176,1,0,5,7,24,19,14,20,IND,20k-40k,25-35,89,1
51,PhD,Together,65968,0,1,376,9,83,19,4,4,CAN,60k-80k,45-55,495,3
65,Master,Single,86424,0,0,387,68,569,89,45,68,ZAF,80k-100k,55-65,1226,2
55,Graduation,Divorced,67272,0,1,357,35,271,28,28,14,RUS,60k-80k,45-55,733,3
64,Graduation,Single,78499,0,0,912,72,170,47,36,97,CAN,60k-80k,55-65,1334,2
49,Graduation,Together,77044,0,1,625,38,242,50,34,76,RUS,60k-80k,45-55,1065,2
28,Graduation,Single,70515,0,0,420,0,452,182,64,140,MNE,60k-80k,25-35,1258,3
46,Master,Together,17459,1,0,6,4,16,3,10,30,RUS,0-20k,45-55,69,0
51,PhD,Married,80336,0,0,209,19,456,160,142,66,RUS,80k-100k,45-55,1052,2
